"Name";"ID";"Location";"Size(MB)";"Status"
"Orphaned Cache Item";"dc651acd-da06-4ac2-bc83-9046f42aa751";"C:\windows\ccmcache\2e";"127.64";"Deleted!"
"Security Update for Microsoft Office 2016 (KB4011622) 64-Bit Edition";"44de54b3-902d-4757-98b6-759d7873b038";"C:\windows\ccmcache\2b";"10.96";"Deleted!"
"Orphaned Cache Item";"ac778477-74a8-4e2e-a880-175693668cea";"C:\windows\ccmcache\2q";"1.16";"Deleted!"
"Orphaned Cache Item";"d143ac70-a820-4228-b5ac-03cda31dbbeb";"C:\windows\ccmcache\2r";"0.80";"Deleted!"
"Orphaned Cache Item";"e1e546ab-c2f0-436f-8a75-19d98537f93a";"C:\windows\ccmcache\2n";"0.59";"Deleted!"
"Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.261.433.0)";"2f9b3f81-f24b-451c-b2c7-4dbd495072f9";"C:\windows\ccmcache\2t";"0.52";"Deleted!"
"Orphaned Cache Item";"9ff67f25-7931-4c8d-a244-84693f67f0d1";"C:\windows\ccmcache\2d";"0.06";"Deleted!"
"Total Size of Items Deleted in MB: 757.41";"N/A";"N/A";"N/A";" ***** Last Run Date: 01/30/2018 17:39:37 *****"
"Security Update for Microsoft Outlook 2016 (KB4011682) 64-Bit Edition";"d6aeefd9-6d9c-4c88-8cc9-d79d92a06cbd";"C:\windows\ccmcache\39";"93.56";"Deleted!"
"Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.263.487.0)";"378e699b-89bc-471e-958f-992da9dced92";"C:\windows\ccmcache\3u";"7.10";"Deleted!"
"Orphaned Cache Item";"ecabe7f7-a03c-487f-a06e-258bb59a9641";"C:\windows\ccmcache\3s";"5.66";"Deleted!"
"Orphaned Cache Item";"35a6ddc8-7fd4-42fe-8df9-f7de78435163";"C:\windows\ccmcache\37";"4.57";"Deleted!"
"Orphaned Cache Item";"e80736e9-04d9-48b5-bc7c-33d1b35bb46c";"C:\windows\ccmcache\3r";"4.55";"Deleted!"
"Orphaned Cache Item";"1a0cccb1-481b-4000-9324-13069050c09a";"C:\windows\ccmcache\3k";"33.34";"Deleted!"
"Orphaned Cache Item";"71df448d-71dc-489d-996a-09a411ab89ea";"C:\windows\ccmcache\3l";"33.03";"Deleted!"
"Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.263.0.0)";"39b28cd7-74c5-4bd3-b44c-42c4b97aecd8";"C:\windows\ccmcache\3n";"33.00";"Deleted!"
"Orphaned Cache Item";"7458ba1e-5792-466a-b797-521e9dc52139";"C:\windows\ccmcache\3j";"32.78";"Deleted!"
"Orphaned Cache Item";"2a519710-f366-42b0-9f18-519c82bc5a5a";"C:\windows\ccmcache\3i";"31.95";"Deleted!"
"Orphaned Cache Item";"d521103d-0f35-4cb6-8d1e-1fe472f87425";"C:\windows\ccmcache\3h";"31.15";"Deleted!"
"Orphaned Cache Item";"850ea2d4-0887-4b73-bf5b-716028dd4956";"C:\windows\ccmcache\3g";"30.61";"Deleted!"
"Orphaned Cache Item";"7ecbae2a-896d-4b55-92e5-e39c964d2fdb";"C:\windows\ccmcache\3q";"3.82";"Deleted!"
"Orphaned Cache Item";"6f521e88-e770-4945-a852-bc92250cf504";"C:\windows\ccmcache\34";"3.15";"Deleted!"
"Orphaned Cache Item";"79c1b864-f79e-4d0b-8d00-596ae507411d";"C:\windows\ccmcache\3e";"29.39";"Deleted!"
